strain	submitting_lab	originating_lab	virus	segment
A/StPetersburg/RII-MH224917S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/StPetersburg/RII-MH222722S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/YoshkarOla/RII-MH223472S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/Rovenky/RII-MH224512S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/StPetersburg/138/2024	central_research_institute_of_epidemiology	center_of_hygiene_and_epidemiology_in_leningrad_oblast	h1n1pdm	ha
A/StPetersburg/RII-14/2025	who_national_influenza_centre_russian_federation	who_national_influenza_centre_russian_federation	h1n1pdm	ha
A/Michigan/160/2024	centers_for_disease_control_and_prevention	michigan_department_of_community_health	h1n1pdm	ha
A/HongKong/2763/2024	hong_kong_department_of_health	hong_kong_department_of_health	h1n1pdm	ha
A/Tokyo/EIS11-289/2024	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066225/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/France/ARA-HCL024195845801/2024	cnr_virus_des_infections_respiratoires,_france_sud	cnr_virus_des_infections_respiratoires___france_sud	h1n1pdm	ha
A/Thuringen/12/2025	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_für_influenza	h1n1pdm	ha
A/France/ARA-HCL025019555201/2025	cnr_virus_des_infections_respiratoires,_france_sud	cnr_virus_des_infections_respiratoires___france_sud	h1n1pdm	ha
A/Norway/814/2025	norwegian_institute_of_public_health	norwegian_institute_of_public_health	h1n1pdm	ha
A/Catalonia/NSVH161520343/2025	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron	h1n1pdm	ha
A/Norway/1306/2025	norwegian_institute_of_public_health	norwegian_institute_of_public_health	h1n1pdm	ha
A/Norway/2311/2025	norwegian_institute_of_public_health	norwegian_institute_of_public_health	h1n1pdm	ha
A/Badajoz/10291824/2025	hospital_universitario_de_badajoz	hospital_universitario_de_badajoz	h1n1pdm	ha
A/Catalonia/NSVH160141464/2025	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron	h1n1pdm	ha
A/Romania/587190/2025	cantacuzino_institute	cantacuzino_national_military_medical_institute_for_research_and_development	h1n1pdm	ha
A/Romania/587106/2025	cantacuzino_institute	cantacuzino_national_military_medical_institute_for_research_and_development	h1n1pdm	ha
A/France/OCC-RELAB-HCL025016116601/2025	cnr_virus_des_infections_respiratoires,_france_sud	cnr_virus_des_infections_respiratoires___france_sud	h1n1pdm	ha
A/StPetersburg/RII-MH222393S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/SouthAustralia/2501106383/2025	sa_pathology_laboratory	sa_pathology	h1n1pdm	ha
A/SouthAustralia/2501708733/2025	sa_pathology_laboratory	sa_pathology	h1n1pdm	ha
A/Kamchatka/205-17V/2025	state_research_center_of_virology_and_biotechnology_(vector)	fbuz_centre_of_hygiene_and_epidemiology	h1n1pdm	ha
A/Malaysia/MKAI_CL21292/2025	public_health_laboratory_ipoh	klinik_kesihatan_jalan_perak	h1n1pdm	ha
A/France/PAC-RELAB-HCL025014256301/2025	cnr_virus_des_infections_respiratoires,_france_sud	cnr_virus_des_infections_respiratoires___france_sud	h1n1pdm	ha
A/Malaysia/IMR-SARI0386/2025	institute_for_medical_research	hospital_sultanah_aminah	h1n1pdm	ha
A/StPetersburg/RII-1481S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/Novoseletsky/RII-MH226760S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/Sholokhov/RII-MH226752S/2025	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	h1n1pdm	ha
A/NewCaledonia/16/2025	who_collaborating_centre_for_reference_and_research_on_influenza	institut_pasteur_new_caledonia	h1n1pdm	ha
A/NewCaledonia/14/2025	who_collaborating_centre_for_reference_and_research_on_influenza	institut_pasteur_new_caledonia	h1n1pdm	ha
A/NewCaledonia/6/2025	who_collaborating_centre_for_reference_and_research_on_influenza	institut_pasteur_new_caledonia	h1n1pdm	ha
A/NewCaledonia/3/2025	who_collaborating_centre_for_reference_and_research_on_influenza	institut_pasteur_new_caledonia	h1n1pdm	ha
A/Victoria/190/2025	who_collaborating_centre_for_reference_and_research_on_influenza	royal_melbourne_hospital	h1n1pdm	ha
A/FrenchGuiana/47/2025	institut_pasteur_de_la_guyane	centre_hospitalier_de_cayenne	h1n1pdm	ha
A/England/400254/2025	ukhsa_/_respiratory_virus_unit	uk_health_security_agency___colindale	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066257/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066250/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066241/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066242/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066238/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066236/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066231/2025	university_of_stellenbosch	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066222/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066226/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066227/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066245/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/SouthAfrica/PATH-CERI-C066259/2025	center_for_epidemic_response_and_innovation_(ceri)	pathcare	h1n1pdm	ha
A/California/4/2009	centers_for_disease_control_and_prevention	marshfield_clinic_research_foundation	h1n1pdm	na
A/California/7-JRO08/2009-egg		seasonal_h1n1pdm	h1n1pdm	na
A/California/7-JRO09/2009-egg		seasonal_h1n1pdm	h1n1pdm	na
A/California/4/2009-egg		seasonal_h1n1pdm	h1n1pdm	na
A/California/7/2009-egg	national_institute_for_biological_standards_and_control_(nibsc)	naval_health_research_center	h1n1pdm	na
A/California/8/2009-egg	centers_for_disease_control_and_prevention	naval_health_research_center	h1n1pdm	na
A/California/7/2009	national_institute_for_biological_standards_and_control_(nibsc)	naval_health_research_center	h1n1pdm	na
A/California/7-JRO10/2009-egg		seasonal_h1n1pdm	h1n1pdm	na
A/California/8/2009	centers_for_disease_control_and_prevention	naval_health_research_center	h1n1pdm	na
A/Beijing/1/2009	other_database_import	who_chinese_national_influenza_center	h1n1pdm	na
A/Saitama-C/29/2009	national_institute_of_infectious_diseases_(niid)		h1n1pdm	na
A/Tianjin/SWL1/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Mexico/4486/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Colorado/3/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/11/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/12/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Nebraska/2/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Nebraska/2/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/12/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/11/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Colorado/4/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Colorado/3/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/17/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/13/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/California/13/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Arizona/2/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Arizona/2/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/LaGloria-3/2009-egg	other_database_import		h1n1pdm	na
A/Mexico/LaGloria-8/2009-egg	other_database_import		h1n1pdm	na
A/SouthCarolina/10/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/LaGloria-4/2009-egg	other_database_import		h1n1pdm	na
A/Managua/401602/2009	other_database_import		h1n1pdm	na
A/Scotland/4/2009	other_database_import		h1n1pdm	na
A/Fujian/SWL3/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Austria/14/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Delaware/5/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/3955/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Texas/11/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Texas/10/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Texas/4/2009	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/England/195/2009	centers_for_disease_control_and_prevention	microbiology_services_colindale,_public_health_england	h1n1pdm	na
A/Mexico/4108/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Beijing/SWL6/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Texas/8/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Managua/295801/2009	other_database_import		h1n1pdm	na
A/Tomsk/273/2010	other_database_import		h1n1pdm	na
A/Delaware/3/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Brazil/441/2009-egg	centers_for_disease_control_and_prevention	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	h1n1pdm	na
A/Palau/1/2009	who_collaborating_centre_for_reference_and_research_on_influenza	belau_national_hospital	h1n1pdm	na
A/Guangdong/1/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Guangdong/1/2009	other_database_import		h1n1pdm	na
A/Catalonia/88/2009	other_database_import		h1n1pdm	na
A/Kansas/3/2009-egg	centers_for_disease_control_and_prevention	kansas_department_of_health_and_environment	h1n1pdm	na
A/Kansas/3/2009	centers_for_disease_control_and_prevention	kansas_department_of_health_and_environment	h1n1pdm	na
A/SouthCarolina/9/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Texas/8/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Delaware/2/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/SantoDomingo/568T/2009	other_database_import		h1n1pdm	na
A/SantoDomingo/WR1057N/2009	other_database_import		h1n1pdm	na
A/SantoDomingo/WRAIR1414N/2009	other_database_import		h1n1pdm	na
A/Dakar/WRAIR0019T/2010	other_database_import		h1n1pdm	na
A/Luxembourg/184/2010	national_institute_for_medical_research	laboratoire_national_de_sante	h1n1pdm	na
A/Cameroon/LEID-01-11-1387/2011	national_institute_for_medical_research	centre_pasteur_du_cameroun	h1n1pdm	na
A/Cameroon/463/2009	national_institute_for_medical_research	centre_pasteur_du_cameroun	h1n1pdm	na
A/Austria/203/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/205/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Cameroon/10v-1090/2010	national_institute_for_medical_research	centre_pasteur_du_cameroun	h1n1pdm	na
A/Kentucky/5/2010-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Dakar/11/2011	national_institute_for_medical_research	institut_pasteur_de_dakar	h1n1pdm	na
A/Dakar/18/2011	national_institute_for_medical_research	institut_pasteur_de_dakar	h1n1pdm	na
A/Dakar/29/2011	national_institute_for_medical_research	institut_pasteur_de_dakar	h1n1pdm	na
A/Dakar/3/2012	national_institute_for_medical_research	institut_pasteur_de_dakar	h1n1pdm	na
A/Mali/A_Mali-PERCH_009_2012/2012		virus_epidemiology_research_group,_kenya_medical_research_institute	h1n1pdm	na
A/Mali/A_Mali-PERCH_011_2012/2012		virus_epidemiology_research_group,_kenya_medical_research_institute	h1n1pdm	na
A/BurkinaFaso/875/2013	centers_for_disease_control_and_prevention	irss	h1n1pdm	na
A/Dakar/20/2012	national_institute_for_medical_research	institut_pasteur_de_dakar	h1n1pdm	na
A/Gambia/G0070536/2012	national_institute_for_medical_research		h1n1pdm	na
A/England/220/2009	health_protection_agency_(hpa)	microbiology_services_colindale,_public_health_england	h1n1pdm	na
A/Texas/4/2009-egg	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/Texas/17/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/4108/2009	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/England/XFL00311/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england	h1n1pdm	na
A/Texas/20/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Texas/5/2009-egg	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/Texas/5/2009	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/Arizona/3/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/4486/2009	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/SouthCarolina/9/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Arizona/4/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/England/195/2009-egg	centers_for_disease_control_and_prevention	microbiology_services_colindale,_public_health_england	h1n1pdm	na
A/Texas/9/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Texas/9/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Argentina/19911/2009	other_database_import		h1n1pdm	na
A/Argentina/19659/2009	other_database_import		h1n1pdm	na
A/India/GWL_DSC/2010	other_database_import		h1n1pdm	na
A/Manitoba/RV2146/2009	other_database_import		h1n1pdm	na
A/Brisbane/2008/2009	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_scientific_services	h1n1pdm	na
A/England/259/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england	h1n1pdm	na
A/NewYork/12/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/NewYork/39/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/ElSalvador/1553/2009-egg	centers_for_disease_control_and_prevention	contiguo_a_hospital_rosales	h1n1pdm	na
A/ElSalvador/1553/2009	centers_for_disease_control_and_prevention	contiguo_a_hospital_rosales	h1n1pdm	na
A/Bogota/WRAIR0435T/2009	other_database_import		h1n1pdm	na
A/Lima/WRAIR0672F/2009	other_database_import		h1n1pdm	na
A/NewYork/35/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/NewYork/35/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/4603/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Qatar/80/2009	national_institute_for_medical_research	supreme_health_council	h1n1pdm	na
A/NewYork/39/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/NewYork/9/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Mexico/4482/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Mexico/4482/2009	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Ireland/35497/2009	national_institute_for_medical_research	national_virus_reference_laboratory	h1n1pdm	na
A/Taiwan/65048/2010	other_database_import		h1n1pdm	na
A/Pune/NIV6196/2009	other_database_import		h1n1pdm	na
A/Bangalore/NIV236/2009	other_database_import		h1n1pdm	na
A/NewBrunswick/RV2474/2009	other_database_import		h1n1pdm	na
A/Hunan/SWL3/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Hunan/SWL3/2009	other_database_import		h1n1pdm	na
A/Uganda/MUWRP-059/2009	other_database_import		h1n1pdm	na
A/Argentina/9588/2009	other_database_import		h1n1pdm	na
A/Argentina/HNRG106/2009-egg	other_database_import		h1n1pdm	na
A/Argentina/7785/2009	other_database_import		h1n1pdm	na
A/Venezuela/27/2010	centers_for_disease_control_and_prevention	"instituto_nacional_de_higiene_""rafael_rangel"""	h1n1pdm	na
A/Colombia/394/2009	centers_for_disease_control_and_prevention	instituto_nacional_de_salud_de_columbia	h1n1pdm	na
A/Mexico/4635/2009	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Mexico/4603/2009	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/NewYork/34/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Chennai/NIV658/2009	other_database_import		h1n1pdm	na
A/Singapore/SS43/2010	other_database_import		h1n1pdm	na
A/Belgrade/WRAIR2385T/2009	other_database_import		h1n1pdm	na
A/Vietnam/850/2009	other_database_import		h1n1pdm	na
A/Russia/61/2009-egg	other_database_import		h1n1pdm	na
A/Osaka/2024/2009	national_institute_of_infectious_diseases_(niid)		h1n1pdm	na
A/Yamagata/534/2009	national_institute_of_infectious_diseases_(niid)	yamagata_prefectural_institute_of_public_health	h1n1pdm	na
A/Nagasaki-C/58/2009	national_institute_of_infectious_diseases_(niid)	nagasaki_municipal_public_health_and_environment_laboratory	h1n1pdm	na
A/Uganda/430/2009	centers_for_disease_control_and_prevention	uganda_virus_research_institute_(uvri),_national_influenza_center	h1n1pdm	na
A/Morocco/671/2009	national_institute_of_hygiene	institut_national_d_hygiene,_ministere_de_la_sante_sante	h1n1pdm	na
A/NewYork/24/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Guangdong-Futian/SWL1480/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Singapore/ON477/2009	other_database_import		h1n1pdm	na
A/NewYork/27/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Tianjin/SWL4/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Hainan/SWL2/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/CostaRica/5529/2010	centers_for_disease_control_and_prevention	laboratorio_nacional_de_influenza	h1n1pdm	na
A/Brazil/3931/2010	centers_for_disease_control_and_prevention	instituto_adolfo_lutz	h1n1pdm	na
A/Brazil/1394/2010	centers_for_disease_control_and_prevention	instituto_adolfo_lutz	h1n1pdm	na
A/Argentina/HNRG41/2009-egg	other_database_import		h1n1pdm	na
A/Fujian-Gulou/SWL1257/2010-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Bangladesh/3009/2009-egg	centers_for_disease_control_and_prevention	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	h1n1pdm	na
A/Fujian-Gulou/SWL11875/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Fujian-Gulou/SWL11954/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Fujian-Gulou/SWL11951/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Bangladesh/2001/2009-egg	centers_for_disease_control_and_prevention	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	h1n1pdm	na
A/Argentina/HNRG3/2009-egg	other_database_import		h1n1pdm	na
A/Argentina/HNRG8/2009-egg	other_database_import		h1n1pdm	na
A/Iran/2521/2009-egg	national_institute_for_medical_research	tehran_university_of_medical_sciences	h1n1pdm	na
A/Auckland/3/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	auckland_hospital	h1n1pdm	na
A/Auckland/1/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	auckland_hospital	h1n1pdm	na
A/Auckland/1/2009	who_collaborating_centre_for_reference_and_research_on_influenza	auckland_hospital	h1n1pdm	na
A/Auckland/3/2009	who_collaborating_centre_for_reference_and_research_on_influenza	auckland_hospital	h1n1pdm	na
A/Singapore/DMS53/2009	other_database_import		h1n1pdm	na
A/Singapore/DMS58/2009	other_database_import		h1n1pdm	na
A/Singapore/KK87/2010	other_database_import		h1n1pdm	na
A/Singapore/DMS75/2010	other_database_import		h1n1pdm	na
A/Lorestan/1599/2009	other_database_import		h1n1pdm	na
A/Bogota/466N/2009	other_database_import		h1n1pdm	na
A/Hungary/20/2009-egg	centers_for_disease_control_and_prevention	b._johan_national_center_for_epidemiology,_national_influenza_center	h1n1pdm	na
A/Hungary/20/2009	centers_for_disease_control_and_prevention	b._johan_national_center_for_epidemiology,_national_influenza_center	h1n1pdm	na
A/Ningxia-Xixia/SWL116/2010	who_chinese_national_influenza_center		h1n1pdm	na
A/Argentina/HNRG49/2009-egg	other_database_import		h1n1pdm	na
A/Vietnam/1-1880/2009	other_database_import		h1n1pdm	na
A/Korea/CJ19/2009	other_database_import		h1n1pdm	na
A/Korea/CJ40/2009	other_database_import		h1n1pdm	na
A/Guam/NHRC0027/2009	other_database_import		h1n1pdm	na
A/Yap/2033/2009	who_collaborating_centre_for_reference_and_research_on_influenza	yap_state_hospital	h1n1pdm	na
A/Fukushima/9FY016/2009	other_database_import		h1n1pdm	na
A/NewYork/21/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/NewYork/58/2009	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Chile/1586/2009	other_database_import		h1n1pdm	na
A/NorthCarolina/38/2009-egg	centers_for_disease_control_and_prevention	north_carolina_state_laboratory_of_public_health	h1n1pdm	na
A/NorthCarolina/38/2009	centers_for_disease_control_and_prevention	north_carolina_state_laboratory_of_public_health	h1n1pdm	na
A/Argentina/HNRG45/2009-egg	other_database_import		h1n1pdm	na
A/Malaysia/2089888/2009	other_database_import		h1n1pdm	na
A/NewYork/109/2009-egg	centers_for_disease_control_and_prevention	new_york_city_department_of_health	h1n1pdm	na
A/Ohio/7/2009-egg	centers_for_disease_control_and_prevention	ohio_department_of_health_laboratories	h1n1pdm	na
A/Chile/19/2009	other_database_import		h1n1pdm	na
A/Victoria/2083/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	victorian_infectious_diseases_reference_laboratory_	h1n1pdm	na
A/Guam/NHRC0022/2009	other_database_import		h1n1pdm	na
A/Hunan/SWL18/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Fiji/2035/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_centre_for_scientific_services_for_virology__and_vector_borne_diseases	h1n1pdm	na
A/Wellington/2028/2009	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research	h1n1pdm	na
A/Wellington/9/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research	h1n1pdm	na
A/Taiwan/T1821/2009	other_database_import		h1n1pdm	na
A/NewYork/31/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Delhi/NIV3610/2009	other_database_import		h1n1pdm	na
A/Embu/169/2009	kenya_medical_research_institute	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	h1n1pdm	na
A/Zhejiang/1/2009	other_database_import		h1n1pdm	na
A/Taiwan/7717/2009	other_database_import		h1n1pdm	na
A/Akita/1/2009	other_database_import		h1n1pdm	na
A/Bangalore/6206-12/2009	other_database_import		h1n1pdm	na
A/Korea/9741/2009-egg	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/Cyprus/S2330/2009	national_institute_for_medical_research	nicosia_general_hospital	h1n1pdm	na
A/Astrakhan/CRIE-CHRM/2009	other_database_import		h1n1pdm	na
A/Guangdong-Luohu/SWL1755/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Guangdong-Luohu/SWL1808/2009-egg	who_chinese_national_influenza_center		h1n1pdm	na
A/Victoria/528/2009-egg	who_collaborating_centre_for_reference_and_research_on_influenza	monash_medical_centre	h1n1pdm	na
A/Helwan/746/2009	national_institute_for_medical_research	vacsera	h1n1pdm	na
A/SouthCarolina/47/2009-egg	centers_for_disease_control_and_prevention	u.s._air_force_school_of_aerospace_medicine	h1n1pdm	na
A/Austria/5/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Catalonia/S1587/2009	other_database_import		h1n1pdm	na
A/Catalonia/S1674/2009	other_database_import		h1n1pdm	na
A/Catalonia/S1944/2009	other_database_import		h1n1pdm	na
A/NewYork/13/2009-egg	centers_for_disease_control_and_prevention		h1n1pdm	na
A/Iran/572/2009-egg		seasonal_h1n1pdm	h1n1pdm	na
A/Iran/1519/2009	other_database_import		h1n1pdm	na
A/Moldova/93/2010	national_institute_for_medical_research	national_centre_for_preventive_medicine	h1n1pdm	na
A/Austria/330/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/309/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/174/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/244/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/158/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Austria/94/2009-egg	medical_university_vienna	department_of_virology,_medical_university_vienna	h1n1pdm	na
A/Paraguay/165HCl/2009	other_database_import		h1n1pdm	na
A/Tanzania/831/2011	centers_for_disease_control_and_prevention	national_influenza_lab	h1n1pdm	na
A/Tennessee/F1060/2010	other_database_import		h1n1pdm	na
A/Goroka/17/2010	who_collaborating_centre_for_reference_and_research_on_influenza	papua_new_guinea_institute_of_medical_research	h1n1pdm	na
A/Goroka/15/2010	who_collaborating_centre_for_reference_and_research_on_influenza	papua_new_guinea_institute_of_medical_research	h1n1pdm	na
A/EastSepik/1/2010	who_collaborating_centre_for_reference_and_research_on_influenza	papua_new_guinea_institute_of_medical_research	h1n1pdm	na
A/Shanghai/2167T/2010	other_database_import		h1n1pdm	na
A/Moscow/WRAIR4314N/2011	other_database_import		h1n1pdm	na
A/Peru/5610/2010	centers_for_disease_control_and_prevention	us_namru_6	h1n1pdm	na
A/Peru/16/2013	centers_for_disease_control_and_prevention	us_namru_6	h1n1pdm	na
A/Peru/108/2013	centers_for_disease_control_and_prevention	us_namru_6	h1n1pdm	na
A/Singapore/ON894/2009	other_database_import		h1n1pdm	na
A/Mexico/5569/2009-egg	centers_for_disease_control_and_prevention	laboratorio_de_virus_respiratorio	h1n1pdm	na
A/Wisconsin/629-D02367/2009	other_database_import		h1n1pdm	na
A/Argentina/9333/2009	other_database_import		h1n1pdm	na
